Question_text	Question_name
Timestamp	Qtime
What industry do you work or participate in?	Qindustry
What is your job title, if any?	Qtitle
Which category best describes the work you do?	Qwork_title
What computer tools and/or languages have you used besides R?	Qlanguages
What was the FIRST computer language or tool that you learned?	Qfirst_language
How would you rate your level of experience using R?	Qr_experience
What year did you first start learning R?	Qr_year
Roughly how long did it take you to achieve proficiency in R?	Qtime_to_proficiency
How did you learn R? If you used multiple methods, please select the one you used the most.	Qr_learning_path
Which statement most closely reflects the primary reason why you are interested in learning R?	Qreason_to_learn
If you were to learn R, what would do you think you would use it for? (check all that apply)	Qr_use
From what you know about R, how long do you expect that it will take for you to learn enough to use R productively?	Qr_length_to_success
Compared with other technical topics you've learned in school and on the job, on a scale of 1 to 5, how difficult do you expect learning R to be?	Qr_difficulty
Which statement most closely reflects the primary reason why you learned R?	Qr_reason_experienced
Think about the past month: how often did you use R, either for professional or personal projects)?	Qr_how_often_used
Please rate how much you enjoy using R on a scale of 1 to 5, where 1 is you don't enjoy it at all, and 5 is that you enjoy it a great deal.	Qr_enjoyment
Compared with other technical topics you've learned in school and on the job, on a scale of 1 to 5, how difficult has it been for you to learn R?	Qr_difficulty_experienced
Did you use the tidyverse package to learn R?	Qtidyverse_learning
Do you use the tidyverse package when you use R today?	Qtidyverse_today
How often do you use Shiny? Choose the statement that most closely matches your use.	Qshiny
How often do you write unit tests for your R code? These tests can be standalone tests or can be part of a testing framework such as those in R packages testthat and RUnit?	Qunit_tests
What do you like best about using R?	Qlike_best
What do you like least about using R?	Qlike_least
How likely are you to recommend R to a colleague, friend, or family member?	Qrecommend
What applications do you use R for most? (check all that apply)	Qused_for
What do you think is the biggest obstacle you must overcome in trying to learn R? The choices below are only suggestions; if we haven't listed your obstacle, please choose "Other" and add your obstacle in the text. 	Qmost_difficult_aspect
blank_question	blank_question
What R capability or package could you not live without?	Qnot_live_without
What capability or package do you feel is most missing from R?	Qcapability_missing
Which analytical tools do you use today for the functions that you might learn R for? (please check all that apply)	Qtools
If you could change one thing about R and its tool chain that would have made it easier for you to learn and use, what would it be?	Qchange_one_thing
What year were you born?	Qyear_born
What gender do you identify with?	Qgender
In what country do you currently reside?	Qcountry
I identify my ethnicity as (select all that apply):	Qethnicity
What is the highest degree or level of school you have completed? If currently enrolled, please use the highest degree received.	Qdegree
Other than yourself, roughly how many people that you communicate with at least weekly use or know R?	Qteam_r_users
How often do you use some type of version control on your R code? Choose the statement that most closely matches your use.	Qversion_control
Which tools do you use with your R applications? (please check all that apply)	Qtools_with_r
What do you think is the biggest obstacle you must overcome in trying to learn R? If we haven't listed your obstacle, please choose "Other" and add your obstacle in the text. 	Qobstacles_to_starting
What was most difficult for you in learning R?	Qbiggest_difficulty
How do you think you would go about the process of learning R?	Qhow_to_learn_r