Question_text,Question_name
Timestamp,Qtime
How would you rate your level of experience using R?,Qr_experience
"Compared with other technical topics you've learned in school and on the job, on a scale of 1 to 5, how difficult do you expect learning R to be?",Qr_difficulty
"From what you know about R, how long do you expect that it will take for you to learn enough to use R productively?",Qr_length_to_success
How do you think you would go about the process of learning R?,Qhow_to_learn_r
Which statement most closely reflects the primary reason why you are interested in learning R?,Qreason_to_learn
"If you were to learn R, what would do you think you would use it for? (check all that apply)",Qr_use
Which analytical tools do you use today for the functions that you might learn R for? (please check all that apply),Qtools
"What do you think is the biggest obstacle you must overcome in trying to learn R? The choices below are only suggestions; if we haven't listed your obstacle, please choose ""Other"" and add your obstacle in the text.",Qobstacles_to_starting
What year did you first start learning R?,Qr_year
"How did you learn R? If you used multiple methods, please select the one you used the most.",Qr_learning_path
"Compared with other technical topics you've learned in school and on the job, on a scale of 1 to 5, how difficult has it been for you to learn R?",Qr_difficulty_experienced
Roughly how long did it take you to achieve proficiency in R?,Qtime_to_proficiency
Which statement most closely reflects the primary reason why you learned R?,Qreason_experienced
"What do you think was the biggest obstacle you had to overcome in learning R? The choices below are only suggestions; if we haven't listed your obstacle, please choose ""Other"" and add your obstacle in the text.",Qmost_difficult_aspect
"How often do you use R today, either for professional or personal projects?",Qr_how_often_used
What applications do you use R for most? (check all that apply),Qused_for
"Please rate how much you enjoy using R on a scale of 1 to 5, where 1 is you don't enjoy it at all, and 5 is that you enjoy it a great deal.",Qr_enjoyment
"How likely are you to recommend R to a colleague, friend, or family member?",Qrecommend
Which tools do you use with your R applications? (please check all that apply),Qtools_with_r
Did you use tidyverse packages such as ggplot2 or dplyr to learn R?,Qtidyverse_learning
Do you use tidyverse packages when you use R now?,Qtidyverse_today
What do you like best about using R?,Qlike_best
What do you like least about using R?,Qlike_least
"When you have problems in R, where do you go for help?",Qr_problems
How do you discover new packages or packages that are unfamiliar to you?,Qr_discover_packages
How do you share the results that you create in R? Check all that apply.,Qr_share
"Looking ahead, how do you expect your use of R to change in 2020?",Qr_change
"To help us ensure that you are not a robot, please enter the number of characters in the word ""analysis"" in the text box below. Please type your answer as a word; for example if you want 3 to be your answer, type ""three"".",Qrobot_test
Do you currently use R Markdown? Choose the statement that most closely matches your use.,Qrmarkdown
What applications do you use R Markdown for? Check all that apply.,Qrmarkdown_apps
"Looking forward, how do you expect your use of R Markdown to change in 2020?",Qrmarkdown_change
How often do you currently use Shiny? Choose the statement that most closely matches your use.,Qshiny
"Looking forward, how do you expect your use of Shiny to change in 2020?",Qshiny_change 
Do you currently use Python? Choose the statement that most closely matches your use.,Qpython_use
What applications do you use Python for most? (check all that apply),Qpython_apps
"Please rate how much you enjoy using Python on a scale of 1 to 5, where 1 is you don't enjoy it at all, and 5 is that you enjoy it a great deal.",Qpython_enjoy
"How likely are you to recommend Python to a colleague, friend, or family member?",Qpython_recommend
"Looking forward, how do you expect your use of Python to change in 2020?",Qpython_change
What computer tools and/or languages have you used besides R?,Qlanguages 
What was the FIRST computer language or tool that you learned?,Qfirst_language
What year were you born?,Qyear_born
What gender do you identify with?,Qgender 
I identify my ethnicity as (select all that apply):,Qethnicity 
"What is the highest degree or level of school you have completed? If currently enrolled, please use the highest degree received.",Qdegree 
In what country do you currently reside?,Qcountry 
What industry do you work or participate in?,Qindustry 
"What is your job title, if any?",Qtitle 
Which category best describes the work you do?,Qwork_title
How many people in your organization or work group do you feel that you can ask for help or support when working with R?,Qteam_r_users
"Which of the following events have you attended, if any? Check all that apply.",Qevents 
How did you hear about this survey?,Qhear